fasta ; 317.328186035156250000, 291.481567382812500000,  ,  ,  17468 
fasta ; 2.421447753906250000, 1.861572265625000000,  ,  ,  378.317 
fasta ; 1.784484863281250000, 1.629516601562500000,  ,  ,  102.993 
fasta ; 1.769409179687500000, 1.614318847656250000,  ,  ,  101.988 
fasta ; 1.774169921875000000, 1.617553710937500000,  ,  ,  101.89 
fasta ; 1.791992187500000000, 1.629150390625000000,  ,  ,  102.629 
fasta ; 1.773559570312500000, 1.622558593750000000,  ,  ,  102.201 
fasta ; 1.784301757812500000, 1.632080078125000000,  ,  ,  102.132 
fasta ; 1.779541015625000000, 1.623107910156250000,  ,  ,  101.898 
fasta ; 1.758728027343750000, 1.605834960937500000,  ,  ,  101 
binary-trees ; 1288.348876953125000000, 1225.818481445312500000,  ,  ,  39199.4 
binary-trees ; 1327.990844726562500000, 1265.077209472656250000,  ,  ,  39423.1 
binary-trees ; 1353.481933593750000000, 1290.696472167968750000,  ,  ,  39334.2 
binary-trees ; 1347.448364257812500000, 1284.522644042968750000,  ,  ,  39358.1 
binary-trees ; 1383.425964355468750000, 1319.326232910156250000,  ,  ,  40104 
binary-trees ; 1360.990600585937500000, 1298.290710449218750000,  ,  ,  39194.2 
binary-trees ; 1366.334838867187500000, 1303.727600097656250000,  ,  ,  39147.5 
binary-trees ; 1363.165283203125000000, 1300.620056152343750000,  ,  ,  39103.9 
binary-trees ; 1360.046081542968750000, 1297.368103027343750000,  ,  ,  39124.4 
binary-trees ; 1367.044311523437500000, 1304.366577148437500000,  ,  ,  39178.2 
fasta ; 982.764221191406250000, 912.243225097656250000,  ,  ,  47566.8 
fasta ; 969.828186035156250000, 899.438720703125000000,  ,  ,  47471.1 
fasta ; 975.103576660156250000, 904.378784179687500000,  ,  ,  47716.5 
fasta ; 971.799255371093750000, 901.131347656250000000,  ,  ,  47684 
fasta ; 966.221313476562500000, 895.664916992187500000,  ,  ,  47600.7 
fasta ; 953.787902832031250000, 883.235961914062500000,  ,  ,  47572.4 
fasta ; 970.243591308593750000, 899.417785644531250000,  ,  ,  47785.8 
fasta ; 971.049987792968750000, 900.278747558593750000,  ,  ,  47733.5 
fasta ; 955.144165039062500000, 884.763854980468750000,  ,  ,  47483.2 
fasta ; 953.726318359375000000, 883.102172851562500000,  ,  ,  47598.3 
fannkuch-redux ; 8811.306396484375000000, 8466.767089843750000000,  ,  ,  232069 
fannkuch-redux ; 8864.170776367187500000, 8519.335693359375000000,  ,  ,  232343 
fannkuch-redux ; 8966.149414062500000000, 8623.452758789062500000,  ,  ,  230927 
fannkuch-redux ; 9085.046203613281250000, 8741.673522949218750000,  ,  ,  231272 
fannkuch-redux ; 8843.385620117187500000, 8497.480102539062500000,  ,  ,  233221 
fannkuch-redux ; 9560.284790039062500000, 9213.017456054687500000,  ,  ,  233996 
fannkuch-redux ; 9238.665466308593750000, 8895.417602539062500000,  ,  ,  231129 
fannkuch-redux ; 9324.769104003906250000, 8981.272827148437500000,  ,  ,  231319 
fannkuch-redux ; 8902.938110351562500000, -253587.142761230468750000,  ,  ,  233072 
fannkuch-redux ; 9023.281005859375000000, 8679.781982421875000000,  ,  ,  231337 
