binary-trees ; 43.760925292968750000, 40.940734863281250000,  ,  ,  1761.21 
binary-trees ; 40.170104980468750000, 38.194763183593750000,  ,  ,  1188.57 
binary-trees ; 42.011962890625000000, 39.956054687500000000,  ,  ,  1224.52 
binary-trees ; 41.492004394531250000, 39.476562500000000000,  ,  ,  1208.61 
binary-trees ; 42.287170410156250000, 40.180114746093750000,  ,  ,  1233.16 
binary-trees ; 40.911926269531250000, 38.920288085937500000,  ,  ,  1204.36 
binary-trees ; 43.061889648437500000, 40.923950195312500000,  ,  ,  1245.7 
binary-trees ; 42.489074707031250000, 40.257873535156250000,  ,  ,  1293.05 
binary-trees ; 42.136840820312500000, 40.019714355468750000,  ,  ,  1237.38 
binary-trees ; 42.391784667968750000, 40.273132324218750000,  ,  ,  1231.18 
mandelbrot ; 50.313659667968750000, 48.334594726562500000,  ,  ,  1342.9 
mandelbrot ; 50.764831542968750000, 48.807983398437500000,  ,  ,  1322.52 
mandelbrot ; 51.451782226562500000, 49.442565917968750000,  ,  ,  1342.46 
mandelbrot ; 51.112426757812500000, 49.136108398437500000,  ,  ,  1331.11 
mandelbrot ; 51.224609375000000000, 49.258361816406250000,  ,  ,  1320.93 
mandelbrot ; 51.018493652343750000, 49.060791015625000000,  ,  ,  1320.33 
mandelbrot ; 51.717956542968750000, 49.731323242187500000,  ,  ,  1338.24 
mandelbrot ; 51.398559570312500000, 49.414062500000000000,  ,  ,  1326.43 
mandelbrot ; 51.376708984375000000, 49.417053222656250000,  ,  ,  1322.42 
mandelbrot ; 51.640136718750000000, 49.678771972656250000,  ,  ,  1324.46 
fasta ; 34.312316894531250000, 32.530029296875000000,  ,  ,  1192.07 
fasta ; 34.945434570312500000, 33.188598632812500000,  ,  ,  1175.24 
fasta ; 34.510864257812500000, 32.765869140625000000,  ,  ,  1151.33 
fasta ; 34.891601562500000000, 33.138000488281250000,  ,  ,  1178.53 
fasta ; 34.664062500000000000, 32.936401367187500000,  ,  ,  1159.35 
fasta ; 33.958801269531250000, 32.316833496093750000,  ,  ,  1088.8 
fasta ; 34.262084960937500000, 32.557556152343750000,  ,  ,  1120.29 
fasta ; 34.483032226562500000, 32.795288085937500000,  ,  ,  1137.67 
fasta ; 34.492187500000000000, 32.783081054687500000,  ,  ,  1126.38 
fasta ; 35.827209472656250000, 34.033447265625000000,  ,  ,  1208.62 
fannkuch-redux ; 242.715759277343750000, 231.484680175781250000,  ,  ,  7584.31 
fannkuch-redux ; 241.662536621093750000, 230.674316406250000000,  ,  ,  7423.68 
fannkuch-redux ; 243.692565917968750000, 232.454101562500000000,  ,  ,  7584.55 
fannkuch-redux ; 244.337951660156250000, 233.126953125000000000,  ,  ,  7554.76 
fannkuch-redux ; 242.508361816406250000, 231.590270996093750000,  ,  ,  7372.72 
fannkuch-redux ; 242.982116699218750000, 231.893798828125000000,  ,  ,  7491.06 
fannkuch-redux ; 245.459777832031250000, 234.340393066406250000,  ,  ,  7505.55 
fannkuch-redux ; 245.828735351562500000, 234.641296386718750000,  ,  ,  7547.24 
fannkuch-redux ; 244.409851074218750000, 233.272155761718750000,  ,  ,  7517.27 
fannkuch-redux ; 244.809692382812500000, 233.878051757812500000,  ,  ,  7383.52 
