binary-trees ; 403.565979003906250000, 369.977355957031250000,  ,  ,  19729.8 
binary-trees ; 400.666320800781250000, 368.372680664062500000,  ,  ,  18851.8 
binary-trees ; 406.013122558593750000, 373.652221679687500000,  ,  ,  18897.2 
binary-trees ; 402.255126953125000000, 370.167724609375000000,  ,  ,  18704.5 
binary-trees ; 409.651611328125000000, 377.300476074218750000,  ,  ,  18858.2 
binary-trees ; 405.204101562500000000, 373.127197265625000000,  ,  ,  18683.3 
binary-trees ; 407.994323730468750000, 375.817443847656250000,  ,  ,  18763.1 
binary-trees ; 404.238159179687500000, 372.448669433593750000,  ,  ,  18494.2 
binary-trees ; 407.954162597656250000, 375.749755859375000000,  ,  ,  18783 
binary-trees ; 408.750122070312500000, 376.542602539062500000,  ,  ,  18799.7 
fasta ; 99.622863769531250000, 91.216613769531250000,  ,  ,  5659.67 
fasta ; 100.220825195312500000, 91.849548339843750000,  ,  ,  5624.98 
fasta ; 101.538513183593750000, 93.019897460937500000,  ,  ,  5715.87 
fasta ; 99.572937011718750000, 91.204650878906250000,  ,  ,  5620.83 
fasta ; 100.538879394531250000, 92.078430175781250000,  ,  ,  5693.46 
fasta ; 100.985656738281250000, 92.587524414062500000,  ,  ,  5635.69 
fasta ; 102.057373046875000000, 93.546630859375000000,  ,  ,  5722.15 
fasta ; 99.763122558593750000, 91.410705566406250000,  ,  ,  5612.01 
fasta ; 100.521179199218750000, 92.129394531250000000,  ,  ,  5635.66 
fasta ; 100.965393066406250000, 92.473693847656250000,  ,  ,  5708.06 
fannkuch-redux ; 836.471557617187500000, 765.722412109375000000,  ,  ,  47655.5 
fannkuch-redux ; 825.174255371093750000, 754.830444335937500000,  ,  ,  47596.2 
fannkuch-redux ; 824.586303710937500000, 754.197875976562500000,  ,  ,  47587.5 
fannkuch-redux ; 823.950195312500000000, 753.604980468750000000,  ,  ,  47589.8 
fannkuch-redux ; 830.163635253906250000, 759.675964355468750000,  ,  ,  47614.7 
fannkuch-redux ; 830.180786132812500000, 759.282714843750000000,  ,  ,  47937 
fannkuch-redux ; 831.589660644531250000, 761.077697753906250000,  ,  ,  47610.5 
fannkuch-redux ; 829.956604003906250000, 759.370422363281250000,  ,  ,  47692.8 
fannkuch-redux ; 824.157897949218750000, 753.757751464843750000,  ,  ,  47648.5 
fannkuch-redux ; 823.567260742187500000, 753.216247558593750000,  ,  ,  47593.6 
